Conventional,Printing and Packaging Technology,Faculty of Industrial and Technology Education,Thai Program,236000,1,1,3,2,1,1,0,0
Conventional,Mechanical and Energy Engineering,Faculty of Engineering,Thai Program,336000,2,1,3,2,1,1,0,0
Conventional,Automotive Part Manufacturing Engineering,Faculty of Engineering,Thai Program,383500,2,1,3,1,1,1,0,0
Conventional,Civil Engineering,Faculty of Engineering,International Program,423500,3,1,3,1,1,1,0,0
Conventional,Environmental Engineering,Faculty of Engineering,International Program,448000,2,1,3,3,3,1,0,0
Conventional,Chemical Engineering,Faculty of Engineering,International Program,448000,2,1,3,3,2,1,1,1
Conventional,Automation Engineering,Faculty of Engineering,International Program,448000,2,2,3,1,1,1,0,0
Conventional,Interior Architecture,Faculty of Architecture and Design,Thai Program,626000,1,2,1,1,1,1,1,1
Conventional,Industrial Design,Faculty of Architecture and Design,Thai Program,632000,1,2,1,1,1,1,1,1
Conventional,Communication Design,Faculty of Architecture and Design,Thai Program,632000,1,2,1,1,1,1,1,0
Conventional,Architecture,Faculty of Architecture and Design,International Program,751000,1,2,1,1,1,1,1,0
